Repeat,mRate,EPC_MorseA,TempNoise,RunID,TrialName
R_33,1e-7,-0.3,0.5,ID_233,A_Test
R_34,1e-7,-0.3,0.5,ID_234,A_Test
R_35,1e-7,-0.3,0.5,ID_235,A_Test
R_36,1e-7,-0.3,0.5,ID_236,A_Test
R_37,1e-7,-0.3,0.5,ID_237,A_Test
R_38,1e-7,-0.3,0.5,ID_238,A_Test
R_39,1e-7,-0.3,0.5,ID_239,A_Test
R_40,1e-7,-0.3,0.5,ID_240,A_Test
R_41,1e-7,-0.3,0.5,ID_241,A_Test
R_42,1e-7,-0.3,0.5,ID_242,A_Test
R_43,1e-7,-0.3,0.5,ID_243,A_Test
R_44,1e-7,-0.3,0.5,ID_244,A_Test
R_45,1e-7,-0.3,0.5,ID_245,A_Test
R_46,1e-7,-0.3,0.5,ID_246,A_Test
R_47,1e-7,-0.3,0.5,ID_247,A_Test
R_48,1e-7,-0.3,0.5,ID_248,A_Test
R_49,1e-7,-0.3,0.5,ID_249,A_Test
R_50,1e-7,-0.3,0.5,ID_250,A_Test
R_51,1e-7,-0.3,0.5,ID_251,A_Test
R_52,1e-7,-0.3,0.5,ID_252,A_Test
R_53,1e-7,-0.3,0.5,ID_253,A_Test
R_54,1e-7,-0.3,0.5,ID_254,A_Test
R_55,1e-7,-0.3,0.5,ID_255,A_Test
R_56,1e-7,-0.3,0.5,ID_256,A_Test
R_57,1e-7,-0.3,0.5,ID_257,A_Test
R_58,1e-7,-0.3,0.5,ID_258,A_Test
R_59,1e-7,-0.3,0.5,ID_259,A_Test
R_60,1e-7,-0.3,0.5,ID_260,A_Test
R_61,1e-7,-0.3,0.5,ID_261,A_Test
R_62,1e-7,-0.3,0.5,ID_262,A_Test
R_63,1e-7,-0.3,0.5,ID_263,A_Test
R_64,1e-7,-0.3,0.5,ID_264,A_Test
R_65,1e-7,-0.3,0.5,ID_265,A_Test
R_66,1e-7,-0.3,0.5,ID_266,A_Test
R_67,1e-7,-0.3,0.5,ID_267,A_Test
R_68,1e-7,-0.3,0.5,ID_268,A_Test
R_69,1e-7,-0.3,0.5,ID_269,A_Test
R_70,1e-7,-0.3,0.5,ID_270,A_Test
R_71,1e-7,-0.3,0.5,ID_271,A_Test
R_72,1e-7,-0.3,0.5,ID_272,A_Test
R_73,1e-7,-0.3,0.5,ID_273,A_Test
R_74,1e-7,-0.3,0.5,ID_274,A_Test
R_75,1e-7,-0.3,0.5,ID_275,A_Test
R_76,1e-7,-0.3,0.5,ID_276,A_Test
R_77,1e-7,-0.3,0.5,ID_277,A_Test
R_78,1e-7,-0.3,0.5,ID_278,A_Test
R_79,1e-7,-0.3,0.5,ID_279,A_Test
R_80,1e-7,-0.3,0.5,ID_280,A_Test
R_81,1e-7,-0.3,0.5,ID_281,A_Test
R_82,1e-7,-0.3,0.5,ID_282,A_Test
R_83,1e-7,-0.3,0.5,ID_283,A_Test
R_84,1e-7,-0.3,0.5,ID_284,A_Test
R_85,1e-7,-0.3,0.5,ID_285,A_Test
R_86,1e-7,-0.3,0.5,ID_286,A_Test
R_87,1e-7,-0.3,0.5,ID_287,A_Test
R_88,1e-7,-0.3,0.5,ID_288,A_Test
R_89,1e-7,-0.3,0.5,ID_289,A_Test
R_90,1e-7,-0.3,0.5,ID_290,A_Test
R_91,1e-7,-0.3,0.5,ID_291,A_Test
R_92,1e-7,-0.3,0.5,ID_292,A_Test
R_93,1e-7,-0.3,0.5,ID_293,A_Test
R_94,1e-7,-0.3,0.5,ID_294,A_Test
R_95,1e-7,-0.3,0.5,ID_295,A_Test
R_96,1e-7,-0.3,0.5,ID_296,A_Test
R_97,1e-7,-0.3,0.5,ID_297,A_Test
R_98,1e-7,-0.3,0.5,ID_298,A_Test
R_99,1e-7,-0.3,0.5,ID_299,A_Test
R_100,1e-7,-0.3,0.5,ID_300,A_Test
R_1,1e-7,0.9,0.5,ID_301,A_Test
R_2,1e-7,0.9,0.5,ID_302,A_Test
R_3,1e-7,0.9,0.5,ID_303,A_Test
R_4,1e-7,0.9,0.5,ID_304,A_Test
R_5,1e-7,0.9,0.5,ID_305,A_Test
R_6,1e-7,0.9,0.5,ID_306,A_Test
